"","x"
"1","Family.Lachnospiraceae.0001"
"2","Family.Ruminococcaceae.0003"
"3","Family.Lachnospiraceae.0029"
"4","Family.Lachnospiraceae.0043"
"5","Family.Ruminococcaceae.0019"
"6","Family.Lachnospiraceae.0095"
"","x"
"1","Family.Porphyromonadaceae.0005"
"2","Family.Porphyromonadaceae.0006"
"3","Family.Lachnospiraceae.0045"
"4","Order.Clostridiales.0007"
"","x"
"1","Kingdom.Bacteria.0001"
"2","Family.Porphyromonadaceae.0013"
"3","Phylum.Firmicutes.0004"
"4","Family.Porphyromonadaceae.0024"
"5","Family.Porphyromonadaceae.0025"
"6","Family.Porphyromonadaceae.0027"
"7","Family.Ruminococcaceae.0026"
"8","Order.Clostridiales.0026"
"9","Family.Lachnospiraceae.0127"
"10","Family.Porphyromonadaceae.0032"
"11","Order.Bacteroidales.0002"
"12","Family.Porphyromonadaceae.0042"
"13","Family.Lachnospiraceae.0136"
"14","Family.Lachnospiraceae.0138"
"","x"
"1","Family.Lachnospiraceae.0004"
"2","Family.Lachnospiraceae.0009"
"","x"
"1","Oscillibacter.0001"
"2","Family.Lachnospiraceae.0026"
"","x"
"1","Family.Lachnospiraceae.0008"
"2","Oscillibacter.0002"
"3","Family.Lachnospiraceae.0012"
"4","Family.Lachnospiraceae.0020"
"5","Johnsonella.0001"
"6","Family.Lachnospiraceae.0048"
"","x"
"1","Family.Lachnospiraceae.0014"
"2","Family.Lachnospiraceae.0027"
"3","Family.Lachnospiraceae.0039"
"4","Pseudomonas.0001"
"5","Family.Lachnospiraceae.0063"
"","x"
"1","Family.Lachnospiraceae.0019"
"2","Class.Clostridia.0001"
"3","Family.Ruminococcaceae.0010"
"","x"
"1","Kingdom.Bacteria.0002"
"2","Family.Lachnospiraceae.0025"
"3","Streptococcus.0001"
"4","Phylum.Firmicutes.0003"
"","x"
"1","Kingdom.Bacteria.0003"
"2","Order.Clostridiales.0013"
"","x"
"1","Family.Ruminococcaceae.0001"
"2","Family.Lachnospiraceae.0011"
"3","Family.Ruminococcaceae.0002"
"4","Family.Lachnospiraceae.0021"
"5","Family.Lachnospiraceae.0072"
"6","Order.Clostridiales.0008"
"","x"
"1","Family.Lachnospiraceae.0031"
"2","Family.Lachnospiraceae.0050"
"","x"
"1","Family.Lachnospiraceae.0030"
"2","Family.Lachnospiraceae.0032"
"3","Family.Lachnospiraceae.0055"
"4","Family.Lachnospiraceae.0060"
"5","Order.Clostridiales.0015"
"","x"
"1","Family.Lachnospiraceae.0010"
"2","Family.Lachnospiraceae.0016"
"3","Family.Lachnospiraceae.0033"
"4","Family.Lachnospiraceae.0074"
"","x"
"1","Family.Ruminococcaceae.0007"
"2","Family.Lachnospiraceae.0036"
"3","Family.Lachnospiraceae.0075"
"","x"
"1","Family.Porphyromonadaceae.0009"
"2","Family.Lachnospiraceae.0035"
"3","Family.Lachnospiraceae.0097"
"","x"
"1","Bacteroides.0001"
"2","Family.Lachnospiraceae.0042"
"","x"
"1","Anaeroplasma.0001"
"2","Family.Lachnospiraceae.0028"
"3","Clostridium_XlVb.0001"
"4","Family.Lachnospiraceae.0065"
"5","Family.Lachnospiraceae.0069"
"6","Family.Ruminococcaceae.0022"
"","x"
"1","Order.Clostridiales.0001"
"2","Family.Lachnospiraceae.0047"
"3","Family.Ruminococcaceae.0009"
"","x"
"1","Family.Lachnospiraceae.0005"
"2","Family.Lachnospiraceae.0007"
"3","Family.Lachnospiraceae.0013"
"4","Family.Lachnospiraceae.0018"
"5","Family.Ruminococcaceae.0004"
"6","Family.Lachnospiraceae.0023"
"7","Family.Lachnospiraceae.0041"
"8","Order.Clostridiales.0004"
"9","Family.Lachnospiraceae.0057"
"10","Family.Lachnospiraceae.0059"
"11","Family.Ruminococcaceae.0017"
"","x"
"1","Family.Lachnospiraceae.0058"
"2","Family.Lachnospiraceae.0062"
"3","Family.Lachnospiraceae.0066"
"","x"
"1","Bifidobacterium.0001"
"2","Family.Ruminococcaceae.0013"
"","x"
"1","Family.Lachnospiraceae.0015"
"2","Family.Lachnospiraceae.0017"
"3","Family.Lachnospiraceae.0022"
"4","Family.Lachnospiraceae.0024"
"5","Family.Lachnospiraceae.0037"
"6","Family.Lachnospiraceae.0046"
"7","Butyricicoccus.0001"
"8","Family.Lachnospiraceae.0054"
"9","Family.Ruminococcaceae.0011"
"10","Family.Ruminococcaceae.0014"
"11","Family.Lachnospiraceae.0076"
"12","Order.Clostridiales.0010"
"","x"
"1","Phylum.Firmicutes.0001"
"2","Family.Lachnospiraceae.0078"
"3","Family.Erysipelotrichaceae.0001"
"4","Family.Lachnospiraceae.0081"
"5","Family.Lachnospiraceae.0086"
"6","Family.Lachnospiraceae.0100"
"","x"
"1","Family.Porphyromonadaceae.0007"
"2","Family.Lachnospiraceae.0003"
"3","Clostridium_XlVa.0001"
"4","Clostridium_IV.0001"
"5","Family.Porphyromonadaceae.0010"
"6","Clostridium_sensu_stricto.0001"
"7","Roseburia.0001"
"8","Family.Porphyromonadaceae.0011"
"9","Family.Lachnospiraceae.0038"
"10","Family.Ruminococcaceae.0012"
"11","Akkermansia.0001"
"12","Phylum.Firmicutes.0002"
"13","Family.Porphyromonadaceae.0012"
"14","Family.Lachnospiraceae.0073"
"15","Family.Lachnospiraceae.0079"
"16","Kingdom.Bacteria.0006"
"17","Anaerotruncus.0001"
"18","Pseudoflavonifractor.0001"
"19","Family.Lachnospiraceae.0082"
"20","Order.Clostridiales.0017"
"21","Family.Porphyromonadaceae.0016"
"22","Atopostipes.0001"
"23","Family.Porphyromonadaceae.0020"
"24","TM7_genus_incertae_sedis.0004"
"25","Clostridium_XlVa.0003"
"26","Family.Lachnospiraceae.0106"
"27","Family.Lachnospiraceae.0107"
"28","Aeromonas.0001"
"29","Family.Coriobacteriaceae.0004"
"30","TM7_genus_incertae_sedis.0007"
"31","Family.Lachnospiraceae.0122"
"32","Family.Lachnospiraceae.0126"
"33","Clostridium_IV.0003"
"34","Order.Clostridiales.0030"
"","x"
"1","Clostridium_XlVa.0002"
"2","Family.Lachnospiraceae.0068"
"3","Clostridium_IV.0002"
"","x"
"1","Family.Ruminococcaceae.0008"
"2","Clostridium_XlVb.0002"
"3","Family.Ruminococcaceae.0018"
"4","Family.Lachnospiraceae.0087"
"5","Family.Lachnospiraceae.0101"
"","x"
"1","Order.Clostridiales.0002"
"2","Kingdom.Bacteria.0005"
"3","Order.Clostridiales.0006"
"4","Family.Ruminococcaceae.0016"
"5","Family.Lachnospiraceae.0071"
"6","Family.Ruminococcaceae.0020"
"7","Family.Ruminococcaceae.0021"
"8","Family.Lachnospiraceae.0084"
"9","Kingdom.Bacteria.0007"
"10","Family.Lachnospiraceae.0099"
"","x"
"1","Order.Clostridiales.0012"
"2","Streptococcus.0002"
"","x"
"1","Roseburia.0002"
"2","Order.Clostridiales.0014"
"","x"
"1","Family.Lachnospiraceae.0052"
"2","Family.Lachnospiraceae.0056"
"3","Order.Clostridiales.0005"
"4","Family.Lachnospiraceae.0070"
"5","Family.Coriobacteriaceae.0001"
"6","Class.Clostridia.0002"
"7","Family.Lachnospiraceae.0091"
"8","Family.Lachnospiraceae.0094"
"9","Escherichia_Shigella.0002"
"10","Order.Clostridiales.0021"
"11","Family.Lachnospiraceae.0104"
"12","Phylum.Firmicutes.0006"
"13","TM7_genus_incertae_sedis.0005"
"14","Order.Clostridiales.0023"
"15","TM7_genus_incertae_sedis.0006"
"16","Family.Lachnospiraceae.0108"
"17","Family.Lachnospiraceae.0110"
"18","Lishizhenia.0001"
"19","Family.Lachnospiraceae.0113"
"20","Family.Lachnospiraceae.0120"
"21","Family.Lachnospiraceae.0131"
